name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
los angeles,2024-01-01,19.2,10.1,13.9,19.2,10.1,13.9,6.6,64.4,0,0,0,,0,0,15.8,8.3,345.2,1018.6,3,14.2,125.8,10.8,5,10,2024-01-01T06:58:41,2024-01-01T16:54:27,0.69,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-02,18.8,8.2,13.1,18.8,8.2,13.1,7.3,68.9,0,0,0,,0,0,17.3,12.8,216.3,1022.7,2.7,15.8,128.1,11,5,10,2024-01-02T06:58:52,2024-01-02T16:55:13,0.72,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-03,17.8,10.8,13.7,17.8,10.8,13.7,7.7,69.9,3.983,100,25,rain,0,0,50,16.7,287.8,1018.4,49.1,12.8,99.6,8.7,6,10,2024-01-03T06:59:02,2024-01-03T16:55:59,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-04,18.2,11,13.9,18.2,11,13.9,1.4,43.2,0,0,0,,0,0,64.8,9,330.9,1019.9,2.1,16,97.3,8.5,5,10,2024-01-04T06:59:09,2024-01-04T16:56:47,0.78,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-05,18.4,8.4,12.7,18.4,8.4,12.7,4.1,57.5,0,0,0,,0,0,19.1,9.3,336.5,1020.8,3.4,16,119.4,10.3,5,10,2024-01-05T06:59:15,2024-01-05T16:57:36,0.82,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-06,17.7,6.6,12.6,17.7,6.6,12.6,5.2,63,0,0,0,,0,0,38.9,10.6,237.5,1019.2,13,15.8,129.2,11.2,6,10,2024-01-06T06:59:19,2024-01-06T16:58:26,0.85,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-07,14.4,10,12.2,14.4,10,12.2,-2.2,39.2,0,0,0,,0,0,63,23.7,323,1014.6,8,16,143.5,12.3,6,10,2024-01-07T06:59:21,2024-01-07T16:59:16,0.88,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-08,16.4,6.5,11.5,16.4,6.5,11.2,-4.6,33.9,0,0,0,,0,0,40.8,13.6,316.5,1023,0.3,15.9,142.3,12.4,6,10,2024-01-08T06:59:21,2024-01-08T17:00:08,0.91,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-09,17.4,6.5,11.4,17.4,6.5,11.4,-2.6,40.6,0,0,0,,0,0,22,8,292.8,1022.1,1.8,16,139.9,12.2,6,10,2024-01-09T06:59:20,2024-01-09T17:01:00,0.95,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-10,16.4,6.7,11.5,16.4,6.7,11.5,4.2,61.8,0,0,0,,0,0,27.7,11.1,220.2,1015.6,4,16,137,12,5,10,2024-01-10T06:59:16,2024-01-10T17:01:53,0.98,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-11,17.8,9.2,12.9,17.8,8.9,12.9,-2.7,39.5,0,0,0,,0,0,68.4,16.4,318.3,1016.2,15.9,16,145.3,12.5,6,10,2024-01-11T06:59:11,2024-01-11T17:02:47,0,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-12,17,6.1,11.2,17,6.1,11.2,-1.4,43.6,0,0,0,,0,0,19.1,12.6,310.6,1021.1,1.9,16,141.9,12.2,6,10,2024-01-12T06:59:04,2024-01-12T17:03:41,0.05,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-13,16.9,6.3,11.5,16.9,6.3,11.5,3.4,59.4,0,0,0,,0,0,26.6,10.2,271.7,1018.7,2.6,15.9,136,11.8,5,10,2024-01-13T06:58:55,2024-01-13T17:04:37,0.08,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-14,16.8,8.6,12.2,16.8,8.6,12.2,7.1,72,0,0,0,,0,0,24.5,7.5,78.4,1017.3,37.5,15.4,125.5,10.7,6,10,2024-01-14T06:58:44,2024-01-14T17:05:32,0.12,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-15,18.3,8.8,12.9,18.3,8.8,12.9,8.8,77.9,0,0,0,,0,0,26.3,9.6,268.6,1017.8,4,11.2,129.9,11.1,6,10,2024-01-15T06:58:31,2024-01-15T17:06:29,0.15,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-16,20,9.4,13.7,20,9.4,13.7,9.6,78.3,0,0,0,,0,0,28.1,10.6,264.8,1018.1,22.3,10.5,136.8,11.9,5,10,2024-01-16T06:58:16,2024-01-16T17:07:26,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-17,15.9,13.2,14.4,15.9,13.2,14.4,11.3,82,0,0,0,,0,0,21.2,6.5,115.4,1017.4,94.9,9.9,42.5,3.6,3,10,2024-01-17T06:58:00,2024-01-17T17:08:23,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"KHHR,72295023174,KBUR,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-18,19.6,12.2,15.2,19.6,12.2,15.2,10.7,76.3,0,0,0,,0,0,24.1,10.3,262.7,1018.4,30.9,12.1,126.1,11,6,10,2024-01-18T06:57:42,2024-01-18T17:09:21,0.26,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-19,20.4,11.6,15.1,20.4,11.6,15.1,10.4,74.8,0,0,0,,0,0,35.3,9.2,266.5,1016.2,20.3,12.2,103.6,8.8,5,10,2024-01-19T06:57:22,2024-01-19T17:10:19,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-20,15.4,13.2,14.2,15.4,13.2,14.2,12,86.6,5.682,100,41.67,rain,0,0,25.9,11.5,89.1,1013,98.6,11.3,25,2.1,1,10,2024-01-20T06:57:00,2024-01-20T17:11:17,0.33,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-21,18.5,13.7,15.5,18.5,13.7,15.5,12.7,83.7,2.319,100,16.67,rain,0,0,27.7,10.1,111.1,1012.3,91.5,15.2,83.5,7.2,4,10,2024-01-21T06:56:36,2024-01-21T17:12:16,0.36,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-22,15.4,13.4,14.2,15.4,13.4,14.2,13,92.9,25.65,100,83.33,rain,0,0,50,17.7,88.2,1008.8,96.4,9,42.5,3.6,2,10,2024-01-22T06:56:11,2024-01-22T17:13:15,0.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-23,19.2,10.5,15.1,19.2,10.5,15.1,10.5,77.1,0,0,0,,0,0,44.6,17.7,326.7,1012.6,37.7,10.8,154,13.3,6,10,2024-01-23T06:55:43,2024-01-23T17:14:14,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-24,17.4,13.5,15.2,17.4,13.5,15.2,11.4,78.8,0,0,0,,0,0,17.6,7.9,81,1019.6,77.6,15.9,68.7,6,4,10,2024-01-24T06:55:15,2024-01-24T17:15:13,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-25,18.4,13.1,15.3,18.4,13.1,15.3,12.3,83.5,0.954,100,29.17,rain,0,0,26.6,12,254.9,1020.2,53.1,12.9,107.4,9.2,6,10,2024-01-25T06:54:44,2024-01-25T17:16:13,0.5,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-26,22.7,10.1,15.6,22.7,10.1,15.6,7.9,63.9,0,0,0,,0,0,18,10,262.7,1022.4,3.4,15.9,157.9,13.5,6,10,2024-01-26T06:54:12,2024-01-26T17:17:12,0.54,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-27,24.6,11.6,17.8,24.6,11.6,17.8,3.3,41.5,0,0,0,,0,0,21.6,6.9,354,1021.6,3.8,16,153.3,13.3,6,10,2024-01-27T06:53:37,2024-01-27T17:18:12,0.57,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-28,26.1,12.1,18.7,26.1,12.1,18.7,4.5,43.2,0,0,0,,0,0,20.2,9.6,253.8,1019.5,4.7,16,156.5,13.4,6,10,2024-01-28T06:53:02,2024-01-28T17:19:12,0.6,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-29,25.9,12.6,18.8,25.9,12.6,18.8,4.1,40.2,0,0,0,,0,0,22.7,12.4,291.1,1018.9,1.7,16,165.8,14.5,6,10,2024-01-29T06:52:24,2024-01-29T17:20:11,0.63,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-30,23,11.2,16.8,23,11.2,16.8,6.7,53.7,0,0,0,,0,0,18.7,8.7,261.5,1017,3.1,16,154.8,13.5,6,10,2024-01-30T06:51:46,2024-01-30T17:21:11,0.67,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,72295603167,F1624,72287493134,CQ070"
los angeles,2024-01-31,19.6,11.6,15.2,19.6,11.6,15.2,10.1,72.8,0,0,0,,0,0,37.1,11.1,134.5,1014.5,15.8,14.6,142,12.1,6,10,2024-01-31T06:51:05,2024-01-31T17:22:11,0.7,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-01,14.7,10.5,12.6,14.7,10.5,12.6,9.5,81.6,32.526,100,50,rain,0,0,50.5,23.6,97.3,1008.6,90.7,12.9,37.7,3.3,2,10,2024-02-01T06:50:23,2024-02-01T17:23:10,0.73,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-02,16.9,9.4,12.9,16.9,9.4,12.9,8.2,74.3,0.177,100,8.33,rain,0,0,50.1,31.5,262.9,1012.9,21.1,15.5,128.4,11.1,5,10,2024-02-02T06:49:39,2024-02-02T17:24:09,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-03,15.9,8.4,12.4,15.9,8.4,12.4,6.8,70.4,1.336,100,12.5,rain,0,0,22.3,10.8,175.4,1016.3,38.4,15.3,127.9,11,6,10,2024-02-03T06:48:54,2024-02-03T17:25:09,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-04,15.4,11.4,12.7,15.4,11.4,12.7,8.7,77.7,72.223,100,50,rain,0,0,54.8,21.2,107.5,1014.2,88.6,10.7,35.8,3.2,2,10,2024-02-04T06:48:08,2024-02-04T17:26:08,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-05,13.8,12,13.2,13.8,12,13.2,12.3,94.1,59.245,100,100,rain,0,0,51.8,18.1,102.9,1010.9,100,8.7,14,1.2,1,10,2024-02-05T06:47:19,2024-02-05T17:27:07,0.86,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-06,12.6,9.9,11.4,12.6,9.9,11.4,9.9,90.6,29.897,100,100,rain,0,0,21.6,10.3,88.7,1005.9,99.1,10.4,29,2.6,2,10,2024-02-06T06:46:30,2024-02-06T17:28:05,0.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-07,15.3,8.5,11.6,15.3,8.5,11.6,7.8,79.1,6.167,100,25,rain,0,0,55.4,14.4,242.5,1011.8,80.9,14,100.8,8.8,4,10,2024-02-07T06:45:39,2024-02-07T17:29:04,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-08,15.2,6.5,11.3,15.2,6.5,11.3,5.6,69.3,0.03,100,4.17,rain,0,0,47.9,18.7,273,1015.6,41.9,16,160.5,13.9,7,10,2024-02-08T06:44:47,2024-02-08T17:30:02,0.96,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-09,16.2,9.1,12.5,16.2,8.8,12.4,5,62,0.215,100,8.33,rain,0,0,40.7,18.9,305,1016.9,35.8,16,144.3,12.4,6,10,2024-02-09T06:43:53,2024-02-09T17:31:00,0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-10,18,9.8,13.8,18,9.8,13.8,1,43.2,0,0,0,,0,0,38.9,13.4,10.9,1016.9,1.1,16,188.3,16.3,7,10,2024-02-10T06:42:58,2024-02-10T17:31:57,0.03,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-11,18.1,6.9,12.8,18.1,6.9,12.8,0.8,46.7,0,0,0,,0,0,19.4,13.8,265.2,1021.7,0.9,16,192,16.5,7,10,2024-02-11T06:42:02,2024-02-11T17:32:55,0.06,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-12,19.1,7.8,13.1,19.1,7.4,13.1,2,50.1,0,0,0,,0,0,18,18.5,285.5,1019.1,1.4,16,191.7,16.5,7,10,2024-02-12T06:41:04,2024-02-12T17:33:52,0.1,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-13,18.5,8.3,13.1,18.5,8.3,13.1,6.6,65.4,0,0,0,,0,0,24.5,16.6,243.4,1016.3,4,16,184.3,15.9,7,10,2024-02-13T06:40:06,2024-02-13T17:34:49,0.13,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-14,17.6,11.7,14.4,17.6,11.7,14.4,8.3,68.3,0,0,0,,0,0,20.2,8,261.4,1020.2,43.5,15.1,164.2,14.2,6,10,2024-02-14T06:39:06,2024-02-14T17:35:45,0.17,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-15,18.2,10,14.1,18.2,10,14.1,9.5,75.1,0,0,0,,0,0,31.7,18.3,253.9,1021.3,30.6,15.5,180.7,15.7,7,10,2024-02-15T06:38:05,2024-02-15T17:36:41,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-16,18.9,13.7,15.6,18.9,13.7,15.6,11.5,77.6,0,0,0,,0,0,25.2,10.6,260.4,1019.4,60,12.5,161,13.9,6,10,2024-02-16T06:37:03,2024-02-16T17:37:37,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-17,17.4,13.2,14.5,17.4,13.2,14.5,10.9,79.3,0,0,0,,0,0,29.5,8.4,255.7,1018.6,84,10.8,79,6.8,4,10,2024-02-17T06:35:59,2024-02-17T17:38:32,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-18,17.6,13.3,15.2,17.6,13.3,15.2,11.4,78.4,0.521,100,12.5,rain,0,0,21.2,11.2,254.8,1017.8,98.3,14.9,118.8,10.1,5,10,2024-02-18T06:34:55,2024-02-18T17:39:27,0.3,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-19,15,13.6,14.2,15,13.6,14.2,13.2,93.3,21.794,100,91.67,rain,0,0,40.7,16.9,116.3,1018.6,100,8.5,31.9,2.8,1,10,2024-02-19T06:33:49,2024-02-19T17:40:22,0.34,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-20,15.6,13.6,14.3,15.6,13.6,14.3,13,92.3,16.041,100,83.33,rain,0,0,40.7,16.6,107.8,1019.5,99.9,11,27.8,2.2,1,10,2024-02-20T06:32:43,2024-02-20T17:41:16,0.37,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-21,18.1,12.6,15,18.1,12.6,15,11.4,80.8,6.422,100,20.83,rain,0,0,29.5,19.5,256.7,1019.7,44.7,14.6,182.6,15.8,7,10,2024-02-21T06:31:36,2024-02-21T17:42:10,0.41,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-22,19.1,11.4,15.2,19.1,11.4,15.2,10.4,74.7,0,0,0,,0,0,31.7,13.2,262.1,1022,25.1,15.3,205.8,17.8,8,10,2024-02-22T06:30:27,2024-02-22T17:43:04,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-23,25.4,12,17.9,25.4,12,17.9,5.9,50.4,0,0,0,,0,0,18.7,8.3,24.7,1017.6,5,16,164.5,14.3,6,10,2024-02-23T06:29:18,2024-02-23T17:43:57,0.48,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-24,24.2,14.9,17.8,24.2,14.9,17.8,7.4,52.3,0,0,0,,0,0,35.3,18.9,262.1,1016.7,4.8,16,150.8,13.2,7,10,2024-02-24T06:28:08,2024-02-24T17:44:50,0.5,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2024-02-25,20,12.2,15.4,20,12.2,15.4,10.1,72,0,0,0,,0,0,17.3,18,254.2,1017.3,6,15.8,122.8,10.5,5,10,2024-02-25T06:26:57,2024-02-25T17:45:43,0.54,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,F1624,72287493134,CQ070"
