name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
los angeles,2021-01-01,20.5,7.3,13.4,20.5,7.3,13.4,1.2,46.7,0,0,0,,0,0,20.2,8.3,6.9,1018.7,1.2,13.9,135.5,11.7,6,,2021-01-01T06:58:47,2021-01-01T16:54:59,0.6,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,72287493134,CQ070"
los angeles,2021-01-02,18.1,8.4,12.7,18.1,8.4,12.7,5,60.7,0,0,0,,0,0,19.4,6.8,308,1023.4,8.3,15.6,121.5,10.5,5,,2021-01-02T06:58:57,2021-01-02T16:55:46,0.63,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,72287493134,CQ070"
los angeles,2021-01-03,17,10.5,13.1,17,10.5,13.1,9.1,77.2,0,0,0,,0,0,23,8.1,189.3,1022.3,46.9,11.7,113.5,9.9,6,,2021-01-03T06:59:06,2021-01-03T16:56:33,0.67,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,72287493134,CQ070"
los angeles,2021-01-04,16.6,9.3,12.6,16.6,9.3,12.6,8.9,78.6,0,0,0,,0,0,28.1,10,269.8,1021.1,19.5,12.1,127.9,11,5,,2021-01-04T06:59:12,2021-01-04T16:57:21,0.7,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,2021-01-05,16.9,9.6,12.5,16.9,9.6,12.5,8.8,78.8,0,0,0,,0,0,20.5,8.3,272.7,1019.7,31.4,8.8,119.1,10.3,5,,2021-01-05T06:59:16,2021-01-05T16:58:11,0.74,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2021-01-06,21.5,9.3,14.2,21.5,9.3,14.2,7,64.9,0,0,0,,0,0,20.2,7.8,289.1,1019.1,2.4,13.8,121,10.3,6,,2021-01-06T06:59:19,2021-01-06T16:59:01,0.75,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,2021-01-07,23.1,7.8,13.4,23.1,7.8,13.4,6,65.5,0,0,0,,0,0,19.8,9,261.9,1018.2,2.6,14.1,115.3,9.9,5,,2021-01-07T06:59:20,2021-01-07T16:59:52,0.81,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,2021-01-08,19.2,8.3,13.6,19.2,8.3,13.6,5.9,62.4,0,0,0,,0,0,51.8,13.4,341.4,1018.8,3.9,12.2,136.4,11.9,5,,2021-01-08T06:59:19,2021-01-08T17:00:44,0.84,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,2021-01-09,23.2,10.1,15.4,23.2,10.1,15.4,2.9,46.6,0,0,0,,0,0,46.4,10,90,1017.5,1.3,14,137.7,12,6,,2021-01-09T06:59:16,2021-01-09T17:01:37,0.88,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,2021-01-10,21.6,9,14.7,21.6,9,14.7,-1.6,35.8,0,0,0,,0,0,21.2,10,318.4,1020.8,1.6,16,119.7,10.3,5,,2021-01-10T06:59:11,2021-01-10T17:02:31,0.92,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,72287493134,CQ070"
