temp,humidity,precip,windspeed,conditions,cloudcover,visibility,solarradiation,pm25
21.0,74.8,0.0,12.1,2.0,80.9,14.4,121.8,39
18.7,30.2,0.0,6.5,1.0,4.7,16.0,100.9,36
16.8,70.4,13.955,20.6,3.0,63.8,14.8,112.3,26
13.1,68.9,0.0,12.8,1.0,2.7,15.8,128.1,61
17.2,38.8,0.0,20.5,1.0,3.0,16.0,263.2,30
17.0,64.4,0.0,16.4,1.0,10.3,16.0,211.6,40
17.1,62.7,0.0,17.9,1.0,5.2,16.0,327.3,36
18.0,67.3,0.0,18.9,2.0,68.5,15.9,253.7,47
21.5,74.2,0.09,21.0,3.0,37.1,14.3,290.3,57
63.7,32.3,0.0,4.8,1.0,1.7,9.9,124.7,40
81.5,15.0,0.0,12.7,1.0,0.1,9.9,362.6,17
67.6,67.4,0.0,9.8,2.0,58.2,9.9,306.6,45
68.0,68.0,0.0,8.5,2.0,60.8,9.9,299.1,37
80.2,62.4,0.0,5.5,1.0,5.0,7.0,200.2,69
74.7,70.6,0.0,5.0,5.0,94.9,7.0,83.6,74
57.4,62.3,0.0,7.2,2.0,33.2,9.9,118.7,46
16.1,71.7,0.009,10.3,6.0,99.7,16.0,77.9,49
15.8,58.4,0.0,17.1,2.0,36.2,15.9,348.1,56
20.7,72.9,0.0,10.8,2.0,56.7,13.6,339.8,79
24.6,60.2,0.0,21.3,1.0,1.4,15.9,325.4,62
17.6,66.9,0.0,22.1,1.0,0.7,16.0,209.0,21
12.2,69.2,0.0,12.0,2.0,78.5,15.2,29.7,44
13.8,55.3,0.0,6.0,1.0,2.5,15.2,78.2,69
16.6,39.8,0.0,7.7,2.0,31.4,15.7,39.4,29
15.0,62.6,0.0,13.2,1.0,2.7,15.8,231.0,31
20.7,74.1,0.0,11.9,2.0,26.2,15.3,308.0,41
28.3,55.8,0.0,11.8,1.0,8.4,15.8,142.8,61
21.0,69.2,0.0,17.9,2.0,59.7,15.9,213.1,55
15.1,93.1,10.288,12.6,6.0,99.8,8.2,26.8,18
13.2,62.0,0.0,12.3,2.0,27.4,15.7,74.0,33
11.2,72.3,9.533,11.6,3.0,64.4,14.8,142.4,31
16.5,64.8,0.0,20.3,1.0,5.4,16.0,196.5,26
17.5,68.6,0.0,13.1,2.0,26.1,15.7,239.9,31
17.1,72.6,0.0,12.1,1.0,18.4,15.2,239.6,42
24.0,70.0,0.0,20.1,1.0,8.7,14.7,186.9,61
22.8,70.9,0.0,15.6,2.0,73.5,16.0,136.4,44
22.8,71.0,0.0,11.9,1.0,3.8,15.4,173.8,56
18.2,53.2,0.364,17.1,4.0,19.6,15.7,64.2,22
16.5,47.7,0.0,14.7,2.0,42.3,15.7,167.8,32
22.6,68.1,0.0,21.3,1.0,8.5,15.5,310.3,52
20.1,75.3,0.0,21.7,2.0,58.8,13.3,268.6,57
18.0,72.0,0.0,15.0,2.0,29.3,10.9,165.8,77
15.0,38.4,0.0,11.0,2.0,47.5,15.6,60.4,32
59.5,62.1,0.002,6.2,3.0,48.8,9.9,163.3,24
62.5,63.0,0.0,6.8,2.0,51.9,7.2,193.2,44
81.8,21.0,0.0,8.8,1.0,0.8,9.9,372.5,14
68.9,67.8,0.0,13.0,1.0,2.1,9.8,329.3,54
79.7,53.9,0.0,8.3,1.0,1.4,9.5,298.5,44
69.6,69.7,0.0,14.7,1.0,2.4,8.8,273.6,46
68.9,74.9,0.0,5.7,2.0,44.8,7.5,166.8,82
12.6,78.6,0.0,10.0,1.0,19.5,12.1,127.9,59
19.9,31.3,0.0,8.0,1.0,0.4,16.0,148.1,52
15.9,53.3,0.0,16.4,2.0,26.1,15.2,187.3,37
20.6,75.6,0.0,17.5,2.0,33.4,12.1,311.0,69
19.0,77.1,0.0,14.2,2.0,21.4,14.3,210.5,53
12.5,65.2,0.0,8.6,1.0,5.9,16.0,86.3,23
13.1,73.6,0.0,8.9,2.0,29.1,12.4,114.0,85
21.6,59.6,0.0,10.6,1.0,0.6,14.4,263.3,64
16.0,66.4,0.0,14.3,1.0,16.9,15.5,285.8,58
18.0,70.2,0.0,10.8,1.0,19.6,14.9,295.1,57
17.5,71.1,0.0,15.1,2.0,77.1,16.0,123.1,32
21.3,69.1,0.0,12.9,1.0,6.2,14.1,324.1,60
20.4,80.8,0.0,15.6,2.0,55.9,11.5,190.5,69
16.1,41.6,0.0,4.1,1.0,0.1,14.9,77.7,53
16.1,31.1,0.0,13.1,1.0,1.8,15.9,71.5,65
14.6,41.3,0.0,13.0,1.0,1.7,15.6,119.3,21
11.5,80.1,12.7,11.2,3.0,86.5,14.2,67.4,30
15.1,80.4,0.0,12.8,2.0,70.0,7.8,217.3,76
15.0,72.6,0.0,18.9,2.0,84.8,13.8,140.9,54
16.1,78.8,0.0,18.0,2.0,63.3,9.3,287.8,61
16.5,65.2,0.0,11.5,2.0,54.7,16.0,167.8,43
19.2,71.6,0.0,17.0,2.0,30.1,13.1,229.6,90
23.9,56.9,0.0,8.9,1.0,2.0,15.9,228.2,43
22.6,71.5,0.0,11.6,2.0,22.3,11.8,185.8,63
22.2,69.8,0.0,10.4,2.0,25.6,13.5,190.7,43
23.0,79.2,0.768,10.7,6.0,99.9,13.2,36.4,57
20.6,78.7,0.081,12.6,6.0,100.0,15.2,46.6,40
21.2,72.6,0.0,18.1,2.0,28.7,15.3,301.9,47
19.4,74.7,0.0,19.9,2.0,82.0,16.0,121.0,42
20.5,77.0,0.0,16.4,2.0,34.1,11.4,226.1,50
17.9,41.5,0.0,18.0,1.0,1.1,16.0,174.3,27
16.1,46.4,0.058,17.3,3.0,76.6,10.7,102.1,45
17.4,35.6,0.0,11.3,2.0,26.7,13.1,138.6,38
17.4,21.4,0.0,9.7,1.0,18.9,16.0,69.6,36
67.5,23.9,0.0,9.2,1.0,1.2,9.9,163.5,33
64.5,59.6,0.0,12.5,2.0,59.9,9.7,215.1,49
61.0,70.6,0.01,12.5,3.0,67.2,9.3,133.1,29
66.8,72.9,0.0,13.3,2.0,36.7,7.1,341.3,59
67.8,65.6,0.0,8.3,2.0,55.8,9.9,209.8,19
82.2,55.7,0.0,10.1,1.0,1.3,8.7,278.2,70
68.9,69.4,0.0,8.5,2.0,35.1,8.7,303.3,56
18.3,20.2,0.0,22.3,1.0,1.8,16.0,279.7,35
18.4,70.6,0.0,11.6,2.0,61.5,15.4,285.1,58
18.9,75.6,0.0,11.9,2.0,29.3,12.9,198.5,51
22.3,45.5,0.0,10.4,1.0,0.9,15.8,181.3,52
18.3,32.1,0.0,17.7,1.0,1.0,15.9,214.6,37
13.7,79.0,25.862,17.0,6.0,94.9,13.0,60.0,44
16.7,66.5,0.0,14.8,1.0,4.2,15.9,274.6,49
22.8,63.9,0.0,15.1,1.0,5.1,16.0,289.1,47
21.9,78.4,0.0,11.9,1.0,18.2,14.0,271.8,42
14.1,63.3,0.0,9.9,2.0,84.0,16.0,26.8,47
12.2,50.3,0.0,14.4,1.0,0.2,16.0,141.6,30
14.8,82.3,0.0,12.9,2.0,80.5,15.3,169.6,28
18.2,72.3,0.0,11.7,5.0,92.6,15.9,89.5,38
17.4,62.1,0.0,12.6,5.0,90.1,16.0,125.9,42
20.3,69.0,0.0,18.5,2.0,38.3,14.8,173.7,57
24.5,64.9,0.0,12.2,1.0,4.9,15.6,119.0,46
24.8,48.3,0.0,12.3,1.0,0.0,15.8,135.9,45
22.2,53.7,0.0,11.3,1.0,0.0,16.0,116.6,57
18.6,30.1,0.0,5.6,1.0,2.0,16.0,156.0,44
15.1,74.8,0.0,9.2,2.0,20.3,12.2,103.6,65
14.4,68.3,0.0,8.0,2.0,43.5,15.1,164.2,40
14.9,69.5,0.0,20.6,1.0,8.2,16.0,241.2,21
16.5,73.2,0.0,21.9,2.0,88.6,16.0,110.6,55
20.2,66.1,0.0,17.1,1.0,6.9,15.9,350.4,56
24.6,54.0,0.0,18.9,1.0,3.1,16.0,315.0,43
23.5,58.2,0.0,22.7,1.0,6.4,16.0,272.5,52
19.9,74.8,0.0,20.5,2.0,74.7,15.6,132.3,50
15.9,34.7,0.0,15.6,1.0,0.0,16.0,171.0,40
16.1,42.5,0.195,14.7,6.0,91.0,13.3,78.3,54
13.4,69.1,0.0,17.1,1.0,14.9,16.0,112.7,44
59.2,64.0,0.05,7.1,3.0,86.6,9.7,158.9,30
71.2,69.2,0.0,10.6,1.0,18.0,6.6,237.5,73
57.7,63.6,0.0,10.6,1.0,1.8,9.7,155.4,54
62.2,65.0,0.0,5.4,1.0,2.6,8.7,142.6,59
12.4,60.2,0.0,12.9,1.0,1.3,15.9,243.6,24
14.9,62.4,0.0,16.2,2.0,49.7,16.0,301.8,47
18.4,69.3,0.0,10.7,1.0,14.0,14.8,302.9,65
